year,quarter,number_of_articles,frontpage,page1to3,avg_n_articles_per_day,avg_n_pages_per_day,avg_n_frontpage_articles_per_day,avg_n_of_word_seg_in_title,min_n_of_word_seg_in_title,max_n_of_word_seg_in_title,avg_n_of_word_seg_in_body,min_n_of_word_seg_in_body,max_n_of_word_seg_in_body
1972,1,3129,0.14669223394055608,0.41514860977948226,35.262703739213805,6.014701182486418,5.093640140620006,26.162671780121446,2,114,969.9952061361457,0,21470
1972,2,3305,0.1382753403933434,0.38517397881996973,37.012708018154314,6,5.046596066565809,26.48593040847201,2,123,892.3301059001512,0,19735
1972,3,3996,0.12912912912912913,0.41316316316316315,44.42042042042042,6,5.694944944944945,24.945695695695697,2,118,728.0783283283283,0,7971
1972,4,4088,0.1350293542074364,0.4469178082191781,45.89090019569472,6.012230919765166,6.0594422700587085,25.217710371819962,2,126,735.643590998043,5,23081
1973,1,3761,0.13427279978729062,0.42302579101302845,42.323584153150755,6,5.664982717362403,24.458388726402553,2,112,790.5740494549322,4,9544
1973,2,3861,0.1250971250971251,0.38435638435638436,43.308728308728305,6,5.374514374514375,25.296296296296298,2,126,779.4607614607614,6,7385
1973,3,3640,0.1260989010989011,0.38983516483516484,41.13131868131868,6.010164835164836,5.077197802197802,26.444505494505496,2,124,836.9145604395604,5,22389
1973,4,3730,0.12761394101876675,0.3772117962466488,42.46541554959786,6.010187667560322,5.215013404825737,24.932439678284183,2,121,838.0675603217159,5,28170
1974,1,3100,0.1432258064516129,0.37516129032258067,34.92645161290323,5.991935483870968,4.984838709677419,26.88,2,115,985.4754838709678,9,8172
1974,2,3188,0.15025094102885822,0.39742785445420326,35.64930991217064,5.984629861982434,5.3230865746549565,27.23400250941029,2,125,966.8691969887077,5,8336
1974,3,3338,0.140203714799281,0.3585979628520072,37.18933493109647,5.993409227082085,5.1024565608148595,25.506291192330735,2,112,930.3960455362493,5,11500
1974,4,3318,0.13050030138637733,0.3453887884267631,37.21458710066305,6.0620855937311635,4.709162145871007,24.716395418927064,2,113,948.4792043399639,8,12208
1975,1,3269,0.14469256653410828,0.39339247476292444,36.95839706332212,6,5.334658917100031,26.077087794432547,2,121,922.9415723462832,10,12958
1975,2,3401,0.1367244927962364,0.4113496030579241,38.92590414583946,5.979123787121435,5.131137900617466,24.80388121140841,2,118,864.7950602763893,3,7937
1975,3,3293,0.12936532037655632,0.3941694503492256,36.692681445490436,5.983601579107197,4.671120558761008,24.668691163073184,2,101,920.2544791982995,5,10821
1975,4,3543,0.11600338696020322,0.3468811741462038,39.51594693762348,6.024837708156929,4.48264182895851,22.02540220152413,2,100,876.1710414902625,0,10958
1976,1,3221,0.11580254579323192,0.37410742005588327,37.75256131636138,6.402669978267618,4.2322260167649794,23.431232536479353,1,102,1002.8199316982303,3,10166
1976,2,3098,0.12265978050355068,0.4057456423499032,34.95610071013557,6.068108457069076,4.239832149774048,21.605229180116204,1,113,983.1923821820529,3,15249
1976,3,3326,0.1037282020444979,0.3481659651232712,38.6879134095009,6.693625977149729,3.697534576067348,20.111244738424535,2,114,948.3214070956103,6,21710
1976,4,2888,0.11357340720221606,0.3635734072022161,33.3601108033241,6.157202216066482,3.6132271468144044,22.649584487534625,2,126,1038.1797091412743,5,27058
1977,1,3030,0.14356435643564355,0.43597359735973595,35.18085808580858,5.947524752475248,4.958415841584158,22.082508250825082,2,119,982.8726072607261,0,13095
1977,2,3036,0.11758893280632411,0.3942687747035573,35.29578392621871,5.97266139657444,4.097167325428195,23.416337285902504,1,126,931.99604743083,0,27684
1977,3,3089,0.13078666235027517,0.3745548721269019,35.89673033344124,5.985432178698608,4.541922952411784,22.809970864357396,0,126,949.2101003561023,0,31271
1977,4,3658,0.12411153635866594,0.3887370147621651,41.262438490978674,5.997266265718972,5.040459267359212,21.328048113723344,0,123,909.5656096227447,11,35830
1978,1,3180,0.14433962264150943,0.40849056603773587,37.26100628930818,5.950314465408805,5.293396226415094,21.123584905660376,0,125,1004.5509433962264,0,31239
1978,2,3352,0.12321002386634845,0.37828162291169454,38.06861575178998,6,4.691229116945108,22.67810262529833,2,126,969.5859188544152,0,18205
1978,3,3299,0.1424674143679903,0.41254925735071235,37.09275538041831,6,5.19460442558351,24.589269475598666,1,124,1015.6723249469536,6,23931
1978,4,3646,0.14454196379594075,0.39056500274273176,40.983543609434996,6,5.831596269884805,23.138507953922108,2,116,936.4004388370818,7,21109
1979,1,3825,0.14797385620915032,0.38588235294117645,43.59241830065359,5.940392156862745,6.3843137254901965,22.416209150326797,1,112,973.6345098039216,0,15897
1979,2,4186,0.13688485427615862,0.3901098901098901,46.89966555183946,6,6.345198279980889,21.324653607262302,1,114,942.5652173913044,0,28434
1979,3,4320,0.1423611111111111,0.40185185185185185,48.37824074074074,6,6.821296296296296,21.57199074074074,2,106,908.5375,4,23566
1979,4,5368,0.13822652757078988,0.40927719821162445,60.44597615499255,6,8.350223546944859,19.7876304023845,1,102,702.8643815201192,4,25622
1980,1,6731,0.13935522210667062,0.43604219283910267,77.11023622047244,7.567374832862873,10.574357450601694,17.378844153914724,0,85,663.6946961818452,0,12717
1980,2,6666,0.13306330633063307,0.39813981398139814,77.27032703270326,7.58985898589859,9.936243624362437,17.865436543654365,1,95,665.6500150015002,0,15030
1980,3,7135,0.14688156972669936,0.4294323756131745,79.90707778556413,7.621583742116328,11.426769446391031,18.41864050455501,2,104,660.4302733006307,4,19630
1980,4,7223,0.14869167935760763,0.43569154091097884,81.06285476948636,7.558632147307213,11.775162674788868,17.915686003045828,0,106,646.872905994739,2,19873
1981,1,6835,0.15435259692757863,0.4286759326993416,78.50811997073885,7.454572055596196,11.95259692757864,17.88046817849305,1,124,645.304608632041,2,14496
1981,2,6971,0.14574666475398076,0.38287189786257353,79.02696887103716,7.577105149906757,11.293788552574954,18.223210443264954,0,124,650.6430928130827,2,11256
1981,3,7445,0.13391537944929482,0.37085292142377435,82.64996642041639,8,11.132034922766957,17.89670920080591,1,98,649.1039623908664,3,34191
1981,4,7502,0.12943215142628633,0.4002932551319648,85.1922154092242,7.945214609437484,11.045321247667289,18.370434550786456,1,110,608.2629965342576,0,32687
1982,1,7437,0.12195777867419659,0.400161355385236,84.76038725292457,7.921473712518488,10.245529111200753,17.786338577383354,1,100,598.434852763211,6,18436
1982,2,7456,0.11842811158798283,0.38358369098712447,83.33181330472102,7.9822961373390555,9.83851931330472,18.330874463519315,1,113,627.1101126609442,0,15962
1982,3,7141,0.11062876347850441,0.35275171544601597,79.80604957288895,8,8.93586332446436,19.21915698081501,1,104,650.7990477524156,0,32201
1982,4,6960,0.1235632183908046,0.3649425287356322,78.1301724137931,7.945977011494253,9.64080459770115,18.33074712643678,1,99,681.4227011494253,0,29801
1983,1,7844,0.1560428352881183,0.44326874043855174,90.54538500764916,7.914329423763386,14.106833248342681,17.660759816420192,1,120,565.5973992860785,6,15181
1983,2,7682,0.12093204894558708,0.38922155688622756,87.04946628482166,7.970320229107004,10.622494142150481,17.940770632647748,1,93,579.866701379849,0,23013
1983,3,8360,0.12021531100478469,0.3964114832535885,92.14425837320574,8,11.047846889952153,18.091028708133972,1,126,556.5314593301435,3,17669
1983,4,7962,0.11391610148203969,0.420120572720422,89.22984174830445,7.9557900025119315,10.114418487817131,18.846395378045717,0,97,577.8349660889223,0,19110
1984,1,7385,0.12471225457007447,0.426404874746107,83.70846310088017,7.924170616113744,10.283818551117129,18.39471902505078,1,122,616.3570751523358,3,36839
1984,2,7984,0.11184869739478957,0.38689879759519036,89.81538076152304,7.981462925851703,9.995741482965931,18.467059118236474,1,107,577.2086673346694,0,18753
1984,3,8195,0.12739475289810862,0.4041488712629652,90.25613178767541,7.989993898718731,11.499572910311166,17.50006101281269,0,102,555.2732153752288,0,11955
1984,4,8963,0.13131763918330916,0.4631261854289858,100.29487894678121,7.980363717505299,13.110677228606493,17.65948901037599,1,101,537.733236639518,0,16183
1985,1,8856,0.12929087624209576,0.46894760614272807,101.0040650406504,7.921409214092141,12.934056007226738,17.77879403794038,1,95,537.5054200542005,7,10653
1985,2,8832,0.11639492753623189,0.4361413043478261,98.50679347826087,7.9646739130434785,11.447463768115941,18.377490942028984,1,102,560.1074501811594,0,14385
1985,3,8723,0.11762008483319959,0.45454545454545453,95.99667545569184,8,11.24246245557721,18.941648515419008,2,102,580.9762696320073,0,22502
1985,4,8687,0.12547484747323587,0.466904570047197,95.93703234718545,7.959019224128007,11.933233567399563,18.768965120294695,1,95,587.1521814205134,0,12447
1986,1,8206,0.12332439678284182,0.45332683402388496,93.55739702656592,7.915184011698757,11.328174506458689,19.460272970996833,2,98,596.8281745064587,0,16603
1986,2,8396,0.11588851834206765,0.4203191996188661,94.63696998570748,7.97665555026203,10.875893282515484,19.129823725583613,1,101,614.88172939495,0,27126
1986,3,9133,0.13358151757363407,0.48691558086061537,100.38421110259499,8,13.382130734698347,18.729990145625752,2,95,545.4782656301325,0,11336
1986,4,8840,0.13721719457013576,0.49536199095022626,97.75113122171946,7.952941176470588,13.291063348416289,18.360407239819004,2,105,562.9184389140272,0,11982
1987,1,8626,0.11418965916995132,0.4762346394620913,97.87201483885926,7.9174588453512635,11.092858798979828,19.602944586134942,1,97,559.45444006492,0,13575
1987,2,8438,0.11448210476416212,0.46788338468831475,94.08983171367623,7.974401516947144,10.73702299123015,19.70502488741408,1,96,591.5388717705617,0,22146
1987,3,8493,0.11668432827034028,0.4715648180854822,92.97244789826917,8,10.816319321794419,19.56281643706582,1,94,602.6558342164135,6,9400
1987,4,8012,0.11744882675986021,0.4721667498751872,88.9383424862706,7.943334997503745,10.404268597104343,19.502246630054916,2,91,627.6859710434348,0,32272
1988,1,8579,0.116214010956988,0.4501690173679916,96.28336635971559,7.865835178925282,11.146637137195476,18.75265182422194,1,91,573.6913393169367,5,17916
1988,2,8430,0.11814946619217082,0.43214709371293003,95.26073546856465,7.870344009489917,11.16109134045077,17.99916963226572,1,83,587.9850533807829,6,29570
1988,3,8897,0.11666853995728897,0.46026750590086546,97.59997752051254,7.904686973137013,11.357311453298864,17.992356974260986,1,89,562.7177700348432,1,13662
1988,4,8633,0.10865284373914051,0.45882080389204216,95.48442024788602,7.872929456735782,10.23271168770995,18.477701841769953,1,93,578.9300359087223,0,13908
1989,1,8397,0.1294509944027629,0.5095867571751816,95.39061569608194,7.8444682624746935,12.142431820888412,18.27938549481958,1,124,563.087173990711,0,19129
1989,2,7025,0.14434163701067615,0.5652669039145908,84.6535231316726,7.487686832740214,11.673879003558719,17.310889679715302,1,92,615.4156583629893,5,25088
1989,3,7823,0.11798542758532532,0.5561804934168477,86.90285056883549,7.970471686053943,10.144318036558865,17.003195704972516,1,82,639.5913332481146,0,23720
1989,4,7788,0.12134052388289676,0.5243965074473549,86.69594247560349,7.942218798151002,10.46276322547509,17.51065742167437,1,92,645.6863122752953,7,12716
1990,1,7617,0.12485230405671524,0.46763817776027305,86.48536169095445,7.886306944991467,10.712485230405672,17.48234212944729,1,94,657.6123145595378,6,19029
1990,2,8029,0.13164777680906714,0.4891020052310375,90.86698218956283,7.938348486735584,11.885415369286337,17.26466558724623,1,82,638.5132644164902,7,26650
1990,3,8780,0.1379271070615034,0.43200455580865604,96.29476082004555,7.930865603644647,13.313325740318907,16.697380410022777,1,92,537.5423690205012,4,11780
1990,4,8421,0.1402446265289158,0.4365277282983019,93.35838973993587,7.88006175038594,13.131219570122314,16.689229307683174,1,87,566.3949649685311,7,22223
1991,1,7943,0.15648999118720885,0.4512149062067229,91.20118343195266,7.736875236056905,14.140375173108398,17.93163792018129,1,88,581.7609215661589,6,26481
